days_held,label,num_dir,entry_a_rel,entry_b_rel,abs_z,pair_encoded,prev_pnl,rolling_winrate_5,days_since_last,pair_avg_hold,abs_z_x_entry_a,z_per_days_gap,pair_dir_combo
1,0,1,0.9981668493340411,0.0018331506659588943,2.2817626852655373,48,0.0,0.0,999.0,1.0,2.2775798704794825,0.002281762685265537,48
6,0,0,0.5552409496511636,0.44475905034883645,2.0860549524934022,54,0.0,0.0,999.0,6.0,1.1582631328469495,0.0020860549524934022,0
4,0,1,0.8329964571244323,0.16700354287556773,2.2601531148759006,45,0.0,0.0,999.0,4.0,1.8826995372503752,0.0022601531148759004,45
1,0,0,0.19716370656857043,0.8028362934314296,2.0743130795798015,35,0.0,0.0,999.0,1.0,0.4089792553536197,0.0020743130795798015,0
12,1,0,0.6358002839309133,0.36419971606908674,2.0413974664106944,29,0.0,1.0,999.0,12.0,1.2979210887597665,0.0020413974664106943,0
13,0,0,0.4710592904623833,0.5289407095376167,2.2169294069580934,21,0.0,0.0,999.0,13.0,1.0443051934468717,0.0022169294069580934,0
20,0,0,0.3974687818998091,0.602531218100191,2.0396243368968587,53,0.0,0.0,999.0,20.0,0.8106870007196003,0.002039624336896859,0
3,0,1,0.7713391239347557,0.2286608760652443,2.19726214641754,60,0.0,0.0,999.0,3.0,1.6948342590727064,0.00219726214641754,60
15,0,1,0.8905942755638558,0.10940572443614413,2.3175049429018753,0,0.0,0.0,999.0,15.0,2.0639566357393506,0.0023175049429018752,0
13,0,0,0.25064393555456566,0.7493560644454343,2.127437991743822,22,0.0,0.0,999.0,13.0,0.5332294308989731,0.0021274379917438223,0
15,0,0,0.6671384989421507,0.3328615010578493,2.3570473850595373,8,0.0,0.0,999.0,15.0,1.5724770544041413,0.0023570473850595373,0
16,0,1,0.8961150239337743,0.10388497606622576,3.47752739906559,46,0.0,0.0,999.0,16.0,3.116264548444017,0.0034775273990655903,46
11,0,1,0.6408984704855829,0.3591015295144171,3.377573025724768,40,0.0,0.0,999.0,11.0,2.164681386140366,0.003377573025724768,40
4,0,1,0.2279116835664996,0.7720883164335004,2.078487681842414,41,0.0,0.0,999.0,4.0,0.4737116268409356,0.002078487681842414,41
3,0,1,0.7438534723456188,0.2561465276543812,2.0109333918396772,50,0.0,0.0,999.0,3.0,1.495839786175697,0.0020109333918396774,50
14,0,1,0.35907140883336247,0.6409285911666376,2.0870948662878774,19,0.0,0.0,999.0,14.0,0.7494160940068664,0.0020870948662878776,19
10,1,1,0.21971745529740244,0.7802825447025976,3.105832901314498,33,0.0,1.0,999.0,10.0,0.68240570165577,0.003105832901314498,33
12,1,0,0.6604503287045463,0.3395496712954536,2.14306530176576,4,0.0,1.0,999.0,12.0,1.415388182986504,0.00214306530176576,0
4,0,1,0.7551907864700819,0.2448092135299181,2.1957967527214026,66,0.0,0.0,999.0,4.0,1.6582454766161279,0.0021957967527214024,66
1,0,1,0.7587770745377378,0.24122292546226218,2.0503264426502907,69,0.0,0.0,999.0,1.0,1.5557407000015544,0.002050326442650291,69
20,1,1,0.6442307801901475,0.35576921980985254,2.6091124539592423,27,0.0,1.0,999.0,20.0,1.680870551817993,0.0026091124539592424,27
21,1,0,0.5309159776123575,0.46908402238764246,2.3848835807829265,5,0.0,1.0,999.0,21.0,1.2661727977830273,0.0023848835807829265,0
16,0,1,0.5472050978042167,0.45279490219578333,2.2871520677533046,39,0.0,0.0,999.0,16.0,1.2515412709280633,0.0022871520677533045,39
7,0,0,0.35028952939439656,0.6497104706056035,2.022230812490475,28,0.0,0.0,999.0,7.0,0.7083662796341367,0.002022230812490475,0
21,1,0,0.23271146569855206,0.7672885343014479,2.1733455931693317,44,0.0,1.0,999.0,21.0,0.5057624384559242,0.002173345593169332,0
16,1,1,0.10103889608086855,0.8989611039191314,2.1952876871586278,64,0.0,1.0,999.0,16.0,0.22180944449043086,0.002195287687158628,64
26,1,0,0.6436786649894404,0.3563213350105596,3.0902286019424245,31,0.0,1.0,999.0,26.0,1.9891142210104846,0.0030902286019424247,0
7,1,1,0.16015530663379976,0.8398446933662003,2.176969418826846,30,0.0,1.0,999.0,7.0,0.34865320480461837,0.002176969418826846,30
13,0,0,0.2939541357125918,0.7060458642874082,2.864541360964678,13,0.0,0.0,999.0,13.0,0.8420437799753435,0.0028645413609646782,0
6,0,0,0.8907075839683455,0.10929241603165447,3.0250281238627554,47,0.0,0.0,999.0,6.0,2.6944154916420917,0.0030250281238627555,0
11,0,0,0.5433697179754057,0.4566302820245944,2.0932161807533425,54,-1.0,0.0,20.0,8.5,1.1373902857974996,0.0996769609882544,0
25,1,1,0.1530850282534867,0.8469149717465133,2.467744759393191,23,0.0,1.0,999.0,25.0,0.3777747762141004,0.002467744759393191,23
25,1,1,0.13211498554613557,0.8678850144538645,2.7260873041858678,38,0.0,1.0,999.0,25.0,0.3601569847900196,0.0027260873041858678,38
7,1,1,0.3723664552438154,0.6276335447561846,2.0114469110436657,26,0.0,1.0,999.0,7.0,0.7489953561764519,0.0020114469110436655,26
4,0,1,0.7998651443953354,0.20013485560466457,2.2040528986699996,68,0.0,0.0,999.0,4.0,1.7629450900496368,0.0022040528986699997,68
24,1,1,0.6870195153939537,0.3129804846060463,2.4877749367874955,70,0.0,1.0,999.0,24.0,1.7091499314809688,0.0024877749367874956,70
5,0,1,0.7565452484121381,0.24345475158786198,2.101948734564305,66,-1.0,0.0,6.0,4.5,1.5902193275405316,0.3002783906520436,66
25,1,0,0.754070342654266,0.245929657345734,2.0011967562714332,15,0.0,1.0,999.0,25.0,1.5090431237202053,0.0020011967562714333,0
21,1,1,0.06893187092791475,0.9310681290720852,2.046137640430544,51,0.0,1.0,999.0,21.0,0.14104409573090632,0.002046137640430544,51
8,1,1,0.5836058863393816,0.4163941136606184,2.2437126786861077,62,0.0,1.0,999.0,8.0,1.309443926535514,0.002243712678686108,62
12,0,1,0.46148458111396545,0.5385154188860346,2.2006428965435396,36,0.0,0.0,999.0,12.0,1.015562765292819,0.0022006428965435395,36
1,0,1,0.3478226791627132,0.6521773208372867,2.402376094574161,63,0.0,0.0,999.0,1.0,0.8356008895712402,0.002402376094574161,63
1,0,0,0.17966729163833134,0.8203327083616687,2.11376519893508,52,0.0,0.0,999.0,1.0,0.37977446845202445,0.00211376519893508,0
9,0,0,0.7941562460849086,0.2058437539150914,2.06722820804517,71,0.0,0.0,999.0,9.0,1.6417021935019849,0.00206722820804517,0
27,1,1,0.05436778781706425,0.9456322121829358,2.1069799148934307,18,0.0,1.0,999.0,27.0,0.11455183694774214,0.0021069799148934307,18
