Price,NTPC.NS,TATASTEEL.NS,ULTRACEMCO.NS,SBIN.NS,RELINFRA.NS,FORTIS.NS,ICICIBANK.NS,CGPOWER.NS,IGL.NS,TATAPOWER.NS,JSWSTEEL.NS,COALINDIA.NS,ABB.NS,BEL.NS,GRASIM.NS,BAJAJELEC.NS,BDL.NS,JINDALSTEL.NS,NH.NS,APOLLOHOSP.NS,LT.NS,VEDL.NS,CEATLTD.NS,BPCL.NS,HAL.NS,RELIANCE.NS,WHIRLPOOL.NS,AMBUJACEM.NS,WIPRO.NS,BAJFINANCE.NS,SIEMENS.NS,TCS.NS,IOC.NS,MRF.NS,HDFCLIFE.NS,HINDZINC.NS,HDFCBANK.NS,ICICIPRULI.NS,GAIL.NS,LICHSGFIN.NS,INFY.NS,SBILIFE.NS,APOLLOTYRE.NS,MGL.NS,POWERGRID.NS,HAVELLS.NS
2018-04-02,101.1190414428711,22.294586181640625,3862.969482421875,231.68728637695312,434.1377868652344,127.49830627441406,249.3533477783203,78.21186828613281,135.18499755859375,71.06537628173828,265.8310241699219,154.9571990966797,1128.65966796875,41.858421325683594,1046.1922607421875,513.1348876953125,171.59739685058594,222.3046112060547,276.186279296875,1071.9605712890625,1188.2529296875,111.81780242919922,1418.4512939453125,137.86444091796875,475.998291015625,401.4304504394531,1502.8756103515625,210.3573455810547,105.9765853881836,1782.1239013671875,1063.7911376953125,1270.309814453125,71.02332305908203,72359.4765625,474.56597900390625,142.3800811767578,913.35009765625,376.1593933105469,80.4134750366211,457.45574951171875,475.9337158203125,672.3750610351562,245.10447692871094,845.3233032226562,76.0894775390625,480.8114929199219
2018-04-03,100.49596405029297,22.329252243041992,3836.46240234375,235.78172302246094,434.03985595703125,129.28915405273438,257.1619873046875,79.3998794555664,134.5558624267578,73.27802276611328,271.65771484375,155.76686096191406,1120.2783203125,42.4367790222168,1044.895751953125,553.9839477539062,171.59739685058594,226.6519012451172,285.47442626953125,1069.666748046875,1183.3165283203125,112.17430877685547,1473.48046875,138.79244995117188,467.4455261230469,404.39752197265625,1481.9549560546875,210.75143432617188,103.87278747558594,1797.4599609375,1085.6104736328125,1271.0087890625,72.56504821777344,74714.578125,485.33258056640625,145.19764709472656,906.1141967773438,387.59967041015625,81.63898468017578,469.9661560058594,477.3149108886719,670.5015869140625,252.349853515625,856.7578735351562,77.51445007324219,481.1903381347656
2018-04-04,98.83436584472656,21.59161949157715,3768.59228515625,232.7697296142578,427.0384216308594,127.8465347290039,255.82879638671875,78.06336212158203,136.1044464111328,72.06324768066406,265.20355224609375,153.30990600585938,1109.9761962890625,41.569244384765625,1017.4742431640625,543.7604370117188,171.5318145751953,216.9692840576172,284.4423828125,1041.45703125,1152.85302734375,108.64903259277344,1449.8831787109375,135.113037109375,462.1853332519531,402.3070983886719,1472.543212890625,207.20460510253906,103.0312728881836,1813.090087890625,1077.9832763671875,1270.85546875,71.31501007080078,73954.3984375,487.5448913574219,144.28192138671875,890.6725463867188,379.826171875,81.26761627197266,453.93597412109375,470.5137634277344,670.4523315429688,249.301513671875,837.1919555664062,76.53843688964844,477.7330017089844
2018-04-05,100.25856018066406,22.358139038085938,3851.4150390625,244.06466674804688,442.80389404296875,137.14898681640625,265.3515625,79.49889373779297,140.26620483398438,72.45370483398438,276.45355224609375,155.1246795654297,1116.3057861328125,41.94517135620117,1050.994873046875,551.9302368164062,170.1319122314453,233.07400512695312,283.8035888671875,1057.806640625,1181.8934326171875,114.8281021118164,1516.9874267578125,137.5551300048828,461.3776550292969,408.28619384765625,1491.2203369140625,210.2075653076172,104.73259735107422,1877.1783447265625,1085.99658203125,1291.3970947265625,72.3150405883789,76208.984375,489.6097106933594,147.21682739257812,902.8035278320312,385.0085144042969,82.29505157470703,477.8116455078125,480.2864990234375,665.5714111328125,258.446533203125,857.3085327148438,76.61653137207031,485.594970703125
2018-04-06,100.55529022216797,22.618141174316406,3834.8115234375,244.44117736816406,437.7119445800781,138.09414672851562,267.25616455078125,81.28093719482422,143.5569305419922,73.32141876220703,276.2742614746094,154.00790405273438,1127.4373779296875,41.87287521362305,1041.72607421875,539.9210815429688,170.94119262695312,237.17430114746094,280.41265869140625,1050.583740234375,1170.9976806640625,112.9071044921875,1519.89111328125,141.29969787597656,456.7803649902344,409.544921875,1492.293701171875,212.56793212890625,103.8910903930664,1898.7371826171875,1084.5966796875,1288.05712890625,72.60670471191406,76332.3828125,488.0364990234375,147.592529296875,909.6611938476562,391.999755859375,82.75308990478516,477.726806640625,471.6856689453125,670.156494140625,259.8603210449219,857.8590087890625,76.49939727783203,505.0130615234375
2018-04-09,100.6739730834961,22.577699661254883,3804.420654296875,245.33534240722656,442.80389404296875,141.0789031982422,267.4465637207031,80.3899154663086,146.871826171875,73.7552719116211,277.3500061035156,153.2540283203125,1127.0445556640625,41.81504821777344,1035.8671875,552.1088256835938,170.59124755859375,239.9901580810547,279.47894287109375,1035.746826171875,1181.0928955078125,111.4415283203125,1522.1954345703125,146.63970947265625,457.4430236816406,411.7926940917969,1512.33642578125,210.74200439453125,104.29354858398438,1905.253662109375,1077.790283203125,1276.5311279296875,74.91929626464844,76437.90625,483.7593688964844,147.26380920410156,917.0628051757812,391.75531005859375,81.8989486694336,477.0059509277344,465.0937194824219,669.2197875976562,259.0650634765625,828.975830078125,76.46038818359375,506.05499267578125
2018-04-10,99.93218994140625,23.184364318847656,3817.043212890625,247.8296356201172,453.28155517578125,145.8544921875,275.0171813964844,80.63742065429688,143.2665557861328,75.57745361328125,279.09796142578125,156.855712890625,1125.7784423828125,42.0753059387207,1039.1329345703125,555.3678588867188,168.38201904296875,241.96620178222656,273.92572021484375,1060.3448486328125,1200.6607666015625,112.53079223632812,1499.059326171875,146.90020751953125,456.552490234375,412.2647399902344,1498.0478515625,209.3168487548828,104.64112854003906,1887.4189453125,1075.7628173828125,1282.512451171875,74.71096801757812,76029.40625,495.1158752441406,147.92124938964844,908.4552001953125,386.5729675292969,82.18366241455078,475.5215759277344,465.99365234375,685.9822998046875,256.8561096191406,800.4736328125,76.88980102539062,506.43389892578125
2018-04-11,99.99152374267578,23.421255111694336,3810.68310546875,241.9468536376953,445.59466552734375,147.09812927246094,270.9700012207031,80.88492584228516,142.61326599121094,75.49068450927734,279.8598937988281,158.25173950195312,1115.7381591796875,41.901790618896484,1026.45458984375,555.6803588867188,166.76336669921875,244.8314666748047,274.8594055175781,1083.039306640625,1203.195556640625,117.56118774414062,1474.724853515625,135.8782196044922,454.4816589355469,418.4686584472656,1509.0689697265625,211.5436248779297,104.5313720703125,1886.046875,1066.8323974609375,1315.9324951171875,69.73162078857422,75669.7109375,491.3795471191406,149.65872192382812,907.50927734375,391.0219421386719,80.95813751220703,474.2069396972656,470.5346984863281,708.956787109375,253.365966796875,772.3524780273438,76.90933227539062,502.83441162109375
2018-04-12,100.5849609375,23.049549102783203,3759.853515625,238.8878173828125,443.2445373535156,153.1173553466797,273.0650329589844,79.59789276123047,140.26620483398438,76.22824096679688,276.3190612792969,157.19076538085938,1110.76171875,42.5958137512207,1022.37255859375,552.3766479492188,164.31356811523438,240.82998657226562,270.2890625,1050.290771484375,1207.375732421875,114.35282897949219,1475.8768310546875,136.3177947998047,449.86346435546875,417.5021057128906,1512.6290283203125,210.2075653076172,104.95213317871094,1890.652587890625,1061.8602294921875,1370.5496826171875,70.10663604736328,76803.8671875,491.2320861816406,146.9585723876953,912.2151489257812,386.9151916503906,80.72294616699219,465.1740417480469,486.5853271484375,709.006103515625,260.3020935058594,778.3663330078125,76.65554809570312,519.3161010742188
2018-04-13,101.44542694091797,22.881994247436523,3766.310302734375,236.2052764892578,452.3023376464844,151.2767791748047,274.4933776855469,79.3998794555664,142.15353393554688,76.0546875,276.54315185546875,159.14520263671875,1110.28173828125,41.20777130126953,1021.604248046875,551.6624145507812,164.3572998046875,248.14134216308594,269.45361328125,1056.489013671875,1205.0631103515625,115.52129364013672,1468.917724609375,132.00343322753906,465.1468200683594,422.0650634765625,1524.137451171875,210.78652954101562,107.62303924560547,1875.953369140625,1038.9786376953125,1376.6839599609375,68.89826965332031,77276.53125,491.4287109375,147.6394805908203,910.41796875,385.9862976074219,80.92101287841797,471.8320007324219,490.2894287109375,701.70947265625,261.75994873046875,775.5288696289062,77.10453796386719,518.1321411132812
