Stock A,Stock B,p-value
HINDZINC.NS,IOC.NS,0.031081668211925925
GAIL.NS,IOC.NS,0.03118077700976309
POWERGRID.NS,BDL.NS,0.031287812537110535
BEL.NS,JSWSTEEL.NS,0.031317332597387816
SBIN.NS,GAIL.NS,0.031369735408289225
LICHSGFIN.NS,JINDALSTEL.NS,0.0315134980501153
BEL.NS,SBIN.NS,0.03172380067620887
LODHA.NS,LICHSGFIN.NS,0.03173224542716521
TCS.NS,LODHA.NS,0.031951334571350916
RELIANCE.NS,AMBUJACEM.NS,0.03200754519327254
JINDALSTEL.NS,ABB.NS,0.03231216776957905
GRASIM.NS,RELINFRA.NS,0.032569209552181566
HAL.NS,GRASIM.NS,0.03267156952679301
POWERGRID.NS,GAIL.NS,0.03270436469655882
APOLLOHOSP.NS,JSWSTEEL.NS,0.032753268059677106
GRASIM.NS,NTPC.NS,0.03305525808049025
ICICIPRULI.NS,HDFCLIFE.NS,0.033680385123886
BAJFINANCE.NS,NH.NS,0.033959063294948466
JSWSTEEL.NS,CGPOWER.NS,0.0343337453520753
SBILIFE.NS,IOC.NS,0.034593941840931335
RELIANCE.NS,MRF.NS,0.0347845103936909
LODHA.NS,BEL.NS,0.03577052234661533
HINDZINC.NS,SBIN.NS,0.03651668722406189
SBILIFE.NS,ULTRACEMCO.NS,0.036641276356811414
LICHSGFIN.NS,LODHA.NS,0.036756898407825735
RELIANCE.NS,GAIL.NS,0.03677414692933745
RELIANCE.NS,ABB.NS,0.03678119771930028
MRF.NS,LT.NS,0.03690067118145919
SBILIFE.NS,CGPOWER.NS,0.03711998363559478
BDL.NS,POWERGRID.NS,0.037271351677878393
JINDALSTEL.NS,LICHSGFIN.NS,0.03729345116065414
APOLLOHOSP.NS,BEL.NS,0.037358578125490455
RELINFRA.NS,CGPOWER.NS,0.03750040112416605
APOLLOHOSP.NS,SBILIFE.NS,0.03753956449065993
SBIN.NS,HINDZINC.NS,0.03769931788909333
RELINFRA.NS,TATASTEEL.NS,0.038208347461052825
NTPC.NS,GRASIM.NS,0.03857028123953901
GRASIM.NS,SBILIFE.NS,0.03887705452963184
SBILIFE.NS,BEL.NS,0.03890509829534326
BAJFINANCE.NS,FORTIS.NS,0.03962365078939713
JSWSTEEL.NS,APOLLOHOSP.NS,0.039637869079192666
SBILIFE.NS,MGL.NS,0.039910300720248364
HDFCBANK.NS,ULTRACEMCO.NS,0.04070282221501133
CGPOWER.NS,ICICIBANK.NS,0.040778886018672675
LODHA.NS,SBIN.NS,0.040872051516247336
SBIN.NS,CEATLTD.NS,0.0409199427826879
IOC.NS,LICHSGFIN.NS,0.04145416595430656
ICICIBANK.NS,GRASIM.NS,0.041457355905318155
APOLLOHOSP.NS,NTPC.NS,0.04154891278676117
JINDALSTEL.NS,POWERGRID.NS,0.04216704275750439
APOLLOHOSP.NS,ICICIBANK.NS,0.04255577951425713
BDL.NS,BEL.NS,0.04263604420547277
COALINDIA.NS,SBILIFE.NS,0.042639202779629
CEATLTD.NS,LT.NS,0.04279761700699587
GRASIM.NS,ICICIBANK.NS,0.042867968900188486
HDFCBANK.NS,ICICIBANK.NS,0.0435543286792438
HDFCBANK.NS,VEDL.NS,0.0436306173961235
NTPC.NS,HINDZINC.NS,0.043753657568301095
SBIN.NS,APOLLOHOSP.NS,0.04381831850560315
JSWSTEEL.NS,HAL.NS,0.04385233369409981
RELIANCE.NS,LICHSGFIN.NS,0.04387315380740411
CGPOWER.NS,JSWSTEEL.NS,0.04433347037357123
AMBUJACEM.NS,RELIANCE.NS,0.04449257665080622
GAIL.NS,HINDZINC.NS,0.04479041181008458
SBILIFE.NS,RELINFRA.NS,0.04485253790632716
RELIANCE.NS,COALINDIA.NS,0.04493617340322875
RELINFRA.NS,SBILIFE.NS,0.04534753410817155
LODHA.NS,MGL.NS,0.045619015705318455
HAVELLS.NS,GAIL.NS,0.046104481701517486
ULTRACEMCO.NS,LODHA.NS,0.04614065899907827
HINDZINC.NS,HAL.NS,0.046367291199771184
ICICIBANK.NS,CGPOWER.NS,0.04675945954977476
COALINDIA.NS,SBIN.NS,0.0471800286396089
HINDZINC.NS,CEATLTD.NS,0.047252854480140695
SBILIFE.NS,POWERGRID.NS,0.04731163413213876
ICICIBANK.NS,BDL.NS,0.04750098264195732
JSWSTEEL.NS,HDFCBANK.NS,0.04776405103038655
JSWSTEEL.NS,GRASIM.NS,0.04783221192131061
SBILIFE.NS,TATAPOWER.NS,0.04808812100449939
APOLLOHOSP.NS,SBIN.NS,0.04823934267479719
COALINDIA.NS,NTPC.NS,0.048764567506750185
GRASIM.NS,BDL.NS,0.04894464169657661
HDFCBANK.NS,BEL.NS,0.04904446304595751
AMBUJACEM.NS,COALINDIA.NS,0.04913032872674572
LICHSGFIN.NS,MGL.NS,0.04934059436112487
JSWSTEEL.NS,BDL.NS,0.049428642596754856
HAVELLS.NS,LODHA.NS,0.0496684352148193
JSWSTEEL.NS,NH.NS,0.04994941205648893
